"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2061","473-NW",539,"meters",-113.249763,57.02507,TRUE
"2062","574-NW",582,"meters",-110.90043,56.174919,TRUE
"2063","791-NW",575,"meters",-112.233109,55.034576,TRUE
"2064","794-NW",762,"meters",-111.336494,54.970066,TRUE
"2065","823-NW",572,"meters",-112.384628,54.883815,TRUE
"2066","825-NW",641,"meters",-111.665276,54.811954,TRUE
"2067","989-NW",589,"meters",-111.749352,53.857868,TRUE
"2068","1022-NW",611,"meters",-111.788589,53.676139,TRUE
"2069","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"2070","235-NW",222,"meters",-112.75727,58.367568,TRUE
"2071","266-NW",389,"meters",-112.512741,58.205688,TRUE
"2072","294-NW",473,"meters",-113.233276,58.088268,TRUE
"2073","296-NW",701,"meters",-112.561646,57.981269,TRUE
"2074","330-NW",300,"meters",-110.962219,57.668617,TRUE
"2075","34-NW",239,"meters",-111.939857,59.565719,TRUE
"2076","358-NW",296,"meters",-111.375656,57.497894,TRUE
"2077","360-NW",413,"meters",-110.709099,57.468082,TRUE
"2078","389-NW",367,"meters",-111.113747,57.299912,TRUE
"2079","3-NW",214,"meters",-111.849083,59.94268,TRUE
"2080","474-NW",519,"meters",-112.872215,56.952861,TRUE
"2081","545-NW",483,"meters",-110.207954,56.264293,TRUE
"2082","574-NW",582,"meters",-110.90043,56.174919,TRUE
"2083","600-NW",479,"meters",-112.548492,56.176391,TRUE
"2084","793-NW",578,"meters",-111.73012,54.976463,TRUE
"2085","989-NW",589,"meters",-111.749352,53.857868,TRUE
"2086","991-NW",613,"meters",-111.167091,53.823879,TRUE
"2087","599-NW",566,"meters",-112.856621,56.223064,TRUE
"2088","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"2089","1058-NW",658,"meters",-111.241508,53.439002,TRUE
"2090","14-NW",251,"meters",-112.230896,59.796966,TRUE
"2091","296-NW",701,"meters",-112.561646,57.981269,TRUE
"2092","32-NW",275,"meters",-112.604416,59.677497,TRUE
"2093","33-NW",285,"meters",-112.275978,59.646675,TRUE
"2094","390-NW",577,"meters",-110.721565,57.268985,TRUE
"2095","3-NW",214,"meters",-111.849083,59.94268,TRUE
"2096","414-NW",737,"meters",-112.846794,57.294983,TRUE
"2097","442-NW",766,"meters",-113.577225,57.201564,TRUE
"2098","514-NW",501,"meters",-110.065025,56.463573,TRUE
"2099","574-NW",582,"meters",-110.90043,56.174919,TRUE
